name,country,region,winery,rating,no_ratings,price,year,type
Crmant de Loire Brut 2017,France,Crmant de Loire,Langlois-Chateau,3.9,25,14.41,2017,sparkling
Vicar's Choice Sauvignon Blanc Bubbles 2019,New Zealand,Marlborough,Saint Clair,4.2,25,11.9,2019,sparkling
Crmant de Limoux Brut N.V.,France,Crmant de Limoux,Prima Perla,3.5,25,14.32,N.V.,sparkling
Athesis Brut 2016,Italy,Sdtirol - Alto Adige,Kettmeir,4.0,25,21.5,2016,sparkling
Blanc de Blancs Rserve Brut Nature N.V.,Germany,Pfalz,Eymann,3.9,25,31.18,N.V.,sparkling
Riesling Extra Brut 2015,Germany,Baden,Griesel & Compagnie,4.0,25,22.13,2015,sparkling
Slection Demi-Sec Champagne Premier Cru N.V.,France,Champagne Premier Cru,Henriet-Bazin,4.1,25,25.0,N.V.,sparkling
Cava Imperial Brut N.V.,Spain,Cava,Cautiu,3.8,25,9.45,N.V.,sparkling
Pinot Brut N.V.,Germany,Baden,Weingut Kilian Hunn,3.5,25,13.54,N.V.,sparkling
Rosato Frizzante N.V.,Italy,Veneto,Le Carline,3.9,25,7.95,N.V.,sparkling
Brut N.V.,Portugal,Alentejo,Sexy,3.7,26,15.0,N.V.,sparkling
Crmant de Loire L'Extra Ros N.V.,France,Crmant de Loire,Langlois-Chateau,3.7,26,14.4,N.V.,sparkling
Brut 2012,United States,Anderson Valley,Roederer Estate,3.9,26,57.51,2012,sparkling
Dom Ruinart Ros Brut Champagne 2007,France,Champagne,Ruinart,4.4,27,269.0,2007,sparkling
Riesling Extra Brut N.V.,Germany,Pfalz,Eymann,4.0,27,18.6,N.V.,sparkling
Donna Cora Spumante 2011,Italy,Toscana,Antinori,3.8,27,41.29,2011,sparkling
Valdobbiadene Prosecco Superiore Millesimato Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco Superiore,Val d'Oca,3.6,27,11.04,N.V.,sparkling
Asti Dolce 2017,Italy,Asti,Fontanafredda,3.6,27,14.87,2017,sparkling
Riesling Brut 2008,Germany,Rheinhessen,Raumland,3.7,28,27.95,2008,sparkling
Rosato Frizzante N.V.,Italy,Veneto,Fili,3.5,28,7.69,N.V.,sparkling
Crmant d'Alsace Brut Prestige N.V.,France,Crmant d'Alsace,Domaine du Moulin de Dusenbach,3.8,28,14.95,N.V.,sparkling
Schloss Castell Silvaner Brut N.V.,Germany,Franken,Castell,4.1,28,17.5,N.V.,sparkling
Giovanni Galliano Brut Ros 2016,Italy,Piemonte,Borgo Maragliano,3.7,28,22.9,2016,sparkling
Reyes de Aragn El Casto Brut Reserva N.V.,Spain,Cava,Bodegas Langa,3.8,29,7.95,N.V.,sparkling
Crmant d'Alsace Brut N.V.,France,Crmant d'Alsace,Jean-Louis Schoepfer,3.7,29,14.0,N.V.,sparkling
