name,country,region,winery,rating,no_ratings,price,year,type
Vermentino 2017,Italy,Toscana,Famiglia Castellani,3.8,25,5.65,2017,white
Ronco Broilo 2010,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,4.3,25,44.9,2010,white
Weisser Schiefer s 2017,Austria,Sdburgenland,Weinbau Uwe Schiefer,4.2,25,33.25,2017,white
Chardonnay 2018,Germany,Rheinhessen,Krmer - Straight,3.9,25,8.99,2018,white
Maganza Zibibbo 2018,Italy,Terre Siciliane,Luna Gaia,3.9,25,8.6,2018,white
Chardonnay 2019,Germany,Pfalz,Schneider,3.7,25,15.9,2019,white
Goldloch Riesling GG 2016,Germany,Nahe,Diel,4.1,25,33.9,2016,white
Kieselberg GG 2015,Germany,Pfalz,Von Winning,4.1,25,33.95,2015,white
Catarratto 2019,Italy,Terre Siciliane,Feudi Branciforti dei Bordonaro,3.8,25,5.0,2019,white
Safari Pecorino 2017,Italy,Terre di Chieti,Bove,3.4,25,6.74,2017,white
Sauvignon Veneto 2019,Italy,Veneto,Torresella,3.8,25,6.77,2019,white
Berg Riesling 2018,France,Alsace,Domaine Pfister,4.2,25,15.9,2018,white
Grechetto 2018,Italy,Umbria,SIGN,3.6,25,8.9,2018,white
Riesling 'Le Gallais' Wiltinger Braune Kupp Kabinett 2018,Germany,Wiltingen,Egon Mller - Scharzhof,4.3,25,38.94,2018,white
Unterebner Pinot Grigio 2018,Italy,Sdtirol - Alto Adige,Tramin,3.7,25,20.37,2018,white
The Guv'nor Blanco 2019,Spain,Castilla,Flix Sols,3.7,25,6.89,2019,white
Oestricher Muschelkalk Riesling Trocken 2018,Germany,Rheingau,Spreitzer,3.8,25,10.4,2018,white
Mcon-Priss 2014,France,Mcon-Priss,Les Hritiers du Comte Lafon,3.7,25,25.92,2014,white
Kallstadter Steinacker Riesling 2015,Germany,Pfalz,Rings,4.0,25,19.0,2015,white
Kerner Carned 2018,Italy,Sdtirol - Alto Adige,Cantina Kaltern,3.7,25,16.17,2018,white
Fehrburgundi 2017,Hungary,Sopron,Weninger,3.9,25,11.02,2017,white
